label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Blank,IO_12C_01,IO_12C_02,IO_12C_03
,1880,1880,3,197.973190,5.959,0.772549,,,197.973190@5.959275,197.973190@5.959275,,0.000,0.000000,197.973190,12554.94,60563.58,90645.44,57317.46
,1881,1881,3,267.130768,6.042,0.769050,,,267.130768@6.041984,267.130768@6.041984,,0.000,0.000000,267.130768,1647.90,109747.91,89575.77,105079.23
,1882,1882,3,403.191101,7.092,0.851747,,,403.191101@7.092454,403.191101@7.092454,,0.000,0.000000,403.191101,2600.30,100543.96,99880.48,69205.12
,1883,1883,4,116.978401,15.534,0.819482,,,116.978401@15.533751,116.978401@15.533751,,0.000,0.000000,116.978401,2818.36,110026.91,81485.70,56687.45
,1884,1884,3,174.107834,18.017,0.730528,,,174.107834@18.016722,174.107834@18.016722,,0.000,0.000000,174.107834,0.00,97396.49,89989.88,89233.32
,1885,1885,3,406.194458,4.503,0.826045,,,406.194458@4.502822,406.194458@4.502822,,0.000,0.000000,406.194458,0.00,103695.09,79391.77,55100.05
,1886,1886,2,435.252594,7.067,0.851728,,,435.252594@7.067089,435.252594@7.067089,,0.000,0.000000,435.252594,0.00,96160.24,78897.35,90930.41
,1887,1887,3,335.654144,3.958,0.849878,,,335.654144@3.957739,335.654144@3.957739,,0.000,0.000000,335.654144,0.00,107903.79,91621.85,69398.62
,1888,1888,4,175.952637,12.065,0.797553,,,175.952637@12.065489,175.952637@12.065489,,0.000,0.000000,175.952637,5574.29,77553.91,87174.18,80384.75
,1889,1889,4,137.996277,15.495,0.851031,,,137.996277@15.495258,137.996277@15.495258,,0.000,0.000000,137.996277,2813.52,116262.09,78453.13,57624.51
,1890,1890,4,491.359131,2.648,0.851318,,,491.359131@2.648246,491.359131@2.648246,,0.000,0.000000,491.359131,23378.63,84092.30,68427.57,99756.66
,1891,1891,3,508.357544,4.122,0.784067,,,508.357544@4.121825,508.357544@4.121825,,0.000,0.000000,508.357544,6200.65,89675.20,89544.84,96849.03
,1892,1892,3,87.045166,11.997,0.743528,,,87.045166@11.996509,87.045166@11.996509,,0.000,0.000000,87.045166,3991.75,77991.59,88708.56,58796.53
,1893,1893,1,340.257812,2.522,0.649912,,,340.257812@2.522267,340.257812@2.522267,,0.000,0.000000,340.257812,0.00,45069.44,73127.60,99891.73
,1894,1894,3,266.088226,12.120,0.830427,,,266.088226@12.120178,266.088226@12.120178,,0.000,0.000000,266.088226,0.00,108752.09,25910.55,64582.53
,1895,1895,3,404.941803,3.725,0.706699,,,404.941803@3.725029,404.941803@3.725029,,0.000,0.000000,404.941803,10477.39,66329.54,74071.85,90633.55
,1896,1896,4,475.354279,2.771,0.850561,,,475.354279@2.770604,475.354279@2.770604,,0.000,0.000000,475.354279,26567.52,100450.46,109300.47,84213.48
,1897,1897,3,142.050934,9.699,0.801463,,,142.050934@9.698830,142.050934@9.698830,,0.000,0.000000,142.050934,1848.00,93117.66,90194.88,86207.34
,1898,1898,3,719.098083,13.418,0.851246,,,719.098083@13.418167,719.098083@13.418167,,0.000,0.000000,719.098083,0.00,56387.44,93486.23,113046.50
,1899,1899,4,167.107758,4.088,0.834630,,,167.107758@4.087825,167.107758@4.087825,,0.000,0.000000,167.107758,6662.80,98161.96,100326.41,86578.74
,1900,1900,1,668.464539,2.584,0.852132,,,668.464539@2.584255,668.464539@2.584255,,0.000,0.000000,668.464539,0.00,85810.16,18746.26,94578.65
,1901,1901,3,377.158325,3.615,0.831062,,,377.158325@3.615366,377.158325@3.615366,,0.000,0.000000,377.158325,1681.23,105315.21,99627.88,117302.73
,1902,1902,2,476.240814,4.172,0.851788,,,476.240814@4.172408,476.240814@4.172408,,0.000,0.000000,476.240814,8815.47,81940.62,94377.41,43852.25
,1903,1903,1,348.034821,13.486,0.851730,,,348.034821@13.486394,348.034821@13.486394,,0.000,0.000000,348.034821,0.00,87709.76,61971.30,47237.52
,1904,1904,3,96.017197,12.087,0.829404,,,96.017197@12.086942,96.017197@12.086942,,0.000,0.000000,96.017197,360.92,79038.91,111824.76,56382.68
,1905,1905,3,344.252533,4.122,0.851538,,,344.252533@4.122205,344.252533@4.122205,,0.000,0.000000,344.252533,0.00,93839.62,98239.20,92380.09
,1906,1906,3,310.119141,10.227,0.840541,,,310.119141@10.226944,310.119141@10.226944,,0.000,0.000000,310.119141,0.00,114629.90,48794.91,38896.69
,1907,1907,2,232.902390,15.954,0.675288,,,232.902390@15.953646,232.902390@15.953646,,0.000,0.000000,232.902390,15279.81,80903.73,81707.12,81169.95
,1908,1908,3,552.384338,4.127,0.851090,,,552.384338@4.126792,552.384338@4.126792,,0.000,0.000000,552.384338,9343.98,89464.29,72669.45,97939.85
,1909,1909,3,523.386780,4.137,0.850573,,,523.386780@4.136554,523.386780@4.136554,,0.000,0.000000,523.386780,6855.27,78958.46,78879.84,41172.12
,1910,1910,3,354.031525,13.418,0.851069,,,354.031525@13.417912,354.031525@13.417912,,0.000,0.000000,354.031525,0.00,105592.96,91607.07,91095.77
,1911,1911,3,216.994354,15.518,0.786942,,,216.994354@15.517929,216.994354@15.517929,,0.000,0.000000,216.994354,4187.22,107830.50,106852.15,80921.53
,1912,1912,3,72.969757,15.504,0.823895,,,72.969757@15.503741,72.969757@15.503741,,0.000,0.000000,72.969757,4576.96,111394.46,70058.63,56792.28
,1913,1913,3,294.119415,12.160,0.835262,,,294.119415@12.160138,294.119415@12.160138,,0.000,0.000000,294.119415,0.00,83961.38,114276.34,87318.91
,1914,1914,2,806.535828,2.602,0.771407,,,806.535828@2.601938,806.535828@2.601938,,0.000,0.000000,806.535828,19068.87,49803.70,34970.51,93539.12
,1915,1915,3,365.159210,2.561,0.850118,,,365.159210@2.560713,365.159210@2.560713,,0.000,0.000000,365.159210,25248.01,79290.00,92233.47,35482.94
,1916,1916,3,145.069946,10.635,0.839607,,,145.069946@10.635292,145.069946@10.635292,,0.000,0.000000,145.069946,1138.51,90924.07,102041.27,108564.79
,1917,1917,3,290.023438,13.363,0.851614,,,290.023438@13.362884,290.023438@13.362884,,0.000,0.000000,290.023438,0.00,72737.73,84855.01,100721.71
,1918,1918,3,903.664795,7.249,0.851611,,,903.664795@7.248800,903.664795@7.248800,,0.000,0.000000,903.664795,0.00,110211.59,82383.55,58585.18
,1919,1919,3,224.137238,2.607,0.851219,,,224.137238@2.606971,224.137238@2.606971,,0.000,0.000000,224.137238,9643.66,77685.63,118693.28,89138.59
,1920,1920,3,100.272400,3.979,0.849892,,,100.272400@3.978695,100.272400@3.978695,,0.000,0.000000,100.272400,0.00,98084.87,118413.12,91993.13
,1921,1921,3,158.993530,4.154,0.770143,,,158.993530@4.154383,158.993530@4.154383,,0.000,0.000000,158.993530,0.00,98544.41,94209.94,62173.38
,1922,1922,1,96.991959,13.619,0.817669,,,96.991959@13.619321,96.991959@13.619321,,0.000,0.000000,96.991959,3275.63,65103.21,52543.72,18858.13
,1923,1923,4,390.172394,7.071,0.851446,,,390.172394@7.070591,390.172394@7.070591,,0.000,0.000000,390.172394,4124.86,79848.39,105534.19,70336.54
,1924,1924,3,625.196411,2.194,0.850667,,,625.196411@2.194056,625.196411@2.194056,,0.000,0.000000,625.196411,0.00,15208.51,51173.88,15552.01
,1925,1925,3,295.182648,3.609,0.810699,,,295.182648@3.609450,295.182648@3.609450,,0.000,0.000000,295.182648,12564.31,118121.01,82324.73,95673.27
,1926,1926,4,190.957596,2.187,0.851596,,,190.957596@2.186604,190.957596@2.186604,,0.000,0.000000,190.957596,18101.41,102590.44,114225.85,90569.09
,1927,1927,3,514.683594,15.538,0.850114,,,514.683594@15.538428,514.683594@15.538428,,0.000,0.000000,514.683594,0.00,119662.62,72468.80,47629.32
,1928,1928,4,298.913513,4.625,0.709739,,,298.913513@4.624654,298.913513@4.624654,,0.000,0.000000,298.913513,39738.16,114939.74,139458.94,149485.73
,1929,1929,4,538.405151,3.056,0.850751,,,538.405151@3.055971,538.405151@3.055971,,0.000,0.000000,538.405151,26705.71,113478.20,106594.49,56716.42
,1930,1930,2,279.906677,3.711,0.683717,,,279.906677@3.710621,279.906677@3.710621,,0.000,0.000000,279.906677,5686.51,53774.35,52511.88,89973.02
,1931,1931,4,425.258087,4.093,0.788257,,,425.258087@4.092554,425.258087@4.092554,,0.000,0.000000,425.258087,9015.75,71748.77,97349.75,87899.15
,1932,1932,3,693.493652,7.162,0.851179,,,693.493652@7.162338,693.493652@7.162338,,0.000,0.000000,693.493652,2000.85,112033.34,99374.31,46495.89
,1933,1933,4,171.102661,4.127,0.787439,,,171.102661@4.126629,171.102661@4.126629,,0.000,0.000000,171.102661,427676.62,857496.81,1075472.38,1787164.38
,1934,1934,3,384.214050,4.146,0.835080,,,384.214050@4.146354,384.214050@4.146354,,0.000,0.000000,384.214050,28680.09,104169.91,95001.69,100480.18
,1935,1935,3,163.994965,4.056,0.765799,,,163.994965@4.056092,163.994965@4.056092,,0.000,0.000000,163.994965,4849.88,71418.27,78767.03,69181.74
,1936,1936,4,144.969955,5.853,0.803277,,,144.969955@5.852950,144.969955@5.852950,,0.000,0.000000,144.969955,16864.75,72588.02,103440.53,72321.60
,1937,1937,2,462.262085,3.077,0.827279,,,462.262085@3.076967,462.262085@3.076967,,0.000,0.000000,462.262085,1274.22,70142.59,108267.37,73946.09
,1938,1938,3,523.349121,4.132,0.850294,,,523.349121@4.131588,523.349121@4.131588,,0.000,0.000000,523.349121,17737.69,104819.59,99587.01,90832.20
,1939,1939,3,81.953133,13.605,0.850305,,,81.953133@13.605368,81.953133@13.605368,,0.000,0.000000,81.953133,2399.73,54314.83,29584.30,42727.62
,1940,1940,2,95.985497,15.431,0.771086,,,95.985497@15.430833,95.985497@15.430833,,0.000,0.000000,95.985497,2176.56,115856.22,55878.48,44713.41
,1941,1941,3,498.321411,2.305,0.852286,,,498.321411@2.305358,498.321411@2.305358,,0.000,0.000000,498.321411,14409.10,96635.43,106511.27,102006.46
,1942,1942,3,515.345337,7.177,0.850468,,,515.345337@7.177071,515.345337@7.177071,,0.000,0.000000,515.345337,1623.91,100537.40,103434.49,74902.10
,1943,1943,3,314.965271,13.863,0.764495,,,314.965271@13.862550,314.965271@13.862550,,0.000,0.000000,314.965271,0.00,65774.34,59367.94,118907.54
,1944,1944,3,325.311340,2.322,0.659681,,,325.311340@2.322500,325.311340@2.322500,,0.000,0.000000,325.311340,32560.88,106403.87,59431.78,73332.59
,1945,1945,2,545.384216,4.117,0.722912,,,545.384216@4.117021,545.384216@4.117021,,0.000,0.000000,545.384216,11484.16,90270.23,84886.38,34101.70
,1946,1946,3,380.905334,6.392,0.696127,,,380.905334@6.391654,380.905334@6.391654,,0.000,0.000000,380.905334,7199.74,53638.72,61808.19,80651.56
,1947,1947,3,223.097565,4.107,0.805559,,,223.097565@4.107438,223.097565@4.107438,,0.000,0.000000,223.097565,19749.41,67375.45,106382.65,98331.06
,1948,1948,2,103.059441,11.138,0.833225,,,103.059441@11.138430,103.059441@11.138430,,0.000,0.000000,103.059441,480.72,95066.28,103259.37,71961.55
,1949,1949,2,234.932388,3.349,0.668653,,,234.932388@3.349079,234.932388@3.349079,,0.000,0.000000,234.932388,14358.70,104428.81,110170.47,92406.91
,1950,1950,4,445.186890,2.723,0.851598,,,445.186890@2.722675,445.186890@2.722675,,0.000,0.000000,445.186890,25432.79,78246.31,103681.97,74596.72
,1951,1951,4,357.228302,2.754,0.846987,,,357.228302@2.754500,357.228302@2.754500,,0.000,0.000000,357.228302,38622.27,98441.94,117574.62,94339.18
,1952,1952,3,516.067322,2.247,0.851044,,,516.067322@2.246946,516.067322@2.246946,,0.000,0.000000,516.067322,4107.20,72443.91,101505.25,52855.47
,1953,1953,3,196.994354,3.964,0.813709,,,196.994354@3.963675,196.994354@3.963675,,0.000,0.000000,196.994354,146655.94,767445.00,753926.00,711470.56
,1954,1954,1,201.025528,13.316,0.618600,,,201.025528@13.316142,201.025528@13.316142,,0.000,0.000000,201.025528,186892.94,509609.09,378099.22,272094.72
,1955,1955,4,151.040085,4.088,0.735921,,,151.040085@4.087642,151.040085@4.087642,,0.000,0.000000,151.040085,17147.56,108996.85,106411.87,92036.95
,1956,1956,3,453.335907,6.726,0.780211,,,453.335907@6.726372,453.335907@6.726372,,0.000,0.000000,453.335907,0.00,90338.57,110621.66,99031.60
,1957,1957,4,157.098328,4.117,0.820776,,,157.098328@4.117021,157.098328@4.117021,,0.000,0.000000,157.098328,12098.46,76955.38,84905.87,53292.37
,1958,1958,4,263.137634,2.872,0.852336,,,263.137634@2.871646,263.137634@2.871646,,0.000,0.000000,263.137634,42101.78,105495.25,108667.21,92644.23
,1959,1959,3,223.020020,16.002,0.819997,,,223.020020@16.001692,223.020020@16.001692,,0.000,0.000000,223.020020,5796.55,43844.92,116707.91,36535.96
