label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,blank,RT_12C_01,RT_12C_02,RT_12C_03
,3289,3289,2,303.137848,4.317,0.684494,,,303.137848@4.316691,303.137848@4.316691,,0.000,0.000000,303.137848,968.82,140926.39,135357.91,156140.52
,3290,3290,3,375.158386,2.601,0.716943,,,375.158386@2.600708,375.158386@2.600708,,0.000,0.000000,375.158386,2716.99,123652.44,100107.24,89510.55
,3291,3291,4,311.856140,14.006,0.852073,,,311.856140@14.006025,311.856140@14.006025,,0.000,0.000000,311.856140,71228.43,144894.20,202120.50,162410.48
,3292,3292,3,522.283691,7.015,0.852919,,,522.283691@7.015472,522.283691@7.015472,,0.000,0.000000,522.283691,0.00,145815.00,183502.98,127977.31
,3293,3293,3,323.222961,4.088,0.823887,,,323.222961@4.088183,323.222961@4.088183,,0.000,0.000000,323.222961,12643.79,154916.70,168432.50,168444.58
,3294,3294,1,206.082916,2.366,0.663139,,,206.082916@2.366150,206.082916@2.366150,,0.000,0.000000,206.082916,8480.07,21708.11,74810.15,19092.39
,3295,3295,4,184.954941,16.093,0.728727,,,184.954941@16.093405,184.954941@16.093405,,0.000,0.000000,184.954941,6457.85,166488.19,170558.89,158076.02
,3296,3296,4,352.224213,3.052,0.831739,,,352.224213@3.051679,352.224213@3.051679,,0.000,0.000000,352.224213,50983.00,176514.48,146200.44,203892.45
,3297,3297,2,333.220367,2.581,0.784062,,,333.220367@2.581158,333.220367@2.581158,,0.000,0.000000,333.220367,32901.00,102923.44,157990.31,106803.74
,3298,3298,4,456.356506,4.034,0.852037,,,456.356506@4.033779,456.356506@4.033779,,0.000,0.000000,456.356506,12492.83,181705.61,169919.95,128406.87
,3299,3299,3,774.434021,7.059,0.832530,,,774.434021@7.058983,774.434021@7.058983,,0.000,0.000000,774.434021,0.00,209992.00,147408.73,209094.39
,3300,3300,3,536.370667,3.079,0.852708,,,536.370667@3.079187,536.370667@3.079187,,0.000,0.000000,536.370667,9542.12,208462.38,191346.14,195133.23
,3301,3301,3,501.275024,4.108,0.851165,,,501.275024@4.108384,501.275024@4.108384,,0.000,0.000000,501.275024,0.00,160122.92,150284.86,137090.28
,3302,3302,3,538.404785,3.042,0.850899,,,538.404785@3.042088,538.404785@3.042088,,0.000,0.000000,538.404785,74059.61,130069.78,205248.50,146040.30
,3303,3303,3,717.450012,3.021,0.852533,,,717.450012@3.021461,717.450012@3.021461,,0.000,0.000000,717.450012,0.00,185765.11,169274.55,171190.36
,3304,3304,3,85.029572,9.976,0.713648,,,85.029572@9.976121,85.029572@9.976121,,0.000,0.000000,85.029572,24166.08,151210.58,130446.47,95152.66
,3305,3305,4,356.227203,7.534,0.848537,,,356.227203@7.534329,356.227203@7.534329,,0.000,0.000000,356.227203,60847.58,178063.19,160412.55,183135.86
,3306,3306,2,343.179108,4.117,0.851818,,,343.179108@4.117312,343.179108@4.117312,,0.000,0.000000,343.179108,20091.33,107073.79,65417.51,152700.14
,3307,3307,3,439.358124,2.596,0.822289,,,439.358124@2.596123,439.358124@2.596123,,0.000,0.000000,439.358124,0.00,143948.77,184042.95,177682.08
,3308,3308,3,402.224548,3.042,0.852015,,,402.224548@3.042217,402.224548@3.042217,,0.000,0.000000,402.224548,7616.92,213388.23,155661.11,192470.00
,3309,3309,2,259.920715,6.685,0.584613,,,259.920715@6.685163,259.920715@6.685163,,0.000,0.000000,259.920715,187393.33,415371.47,342075.47,431992.34
